('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1139846 function calls (1105635 primitive calls) in 3.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 adapters.py:365(build_response)
        5    0.000    0.000    0.001    0.000 feedparser.py:173(feed)
      258    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
     6253    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
       21    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
      188    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      348    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _html5lib.py:1(<module>)
      805    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
        2    0.000    0.000    0.001    0.001 _collections.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
     4224    0.001    0.000    0.001    0.000 parser.py:181(clear_cdata_mode)
      306    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
     1548    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      139    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.001    0.001 encoders.py:1(<module>)
     3876    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1822    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 message.py:135(Message)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 connection.py:114(_has_ipv6)
     2062    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     4601    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
